name,description,revenue,url,launched in,no. of founders,location,funding,monetisation,commitment,category,founder,updated on
Microns,Microns.io is a marketplace to buy the best micro-startups without commission.,$1.9k/Month,www.microns.io,2021,Solo-founder,Ukraine,Bootstrapped,Subscriptions,Full-time,Marketplace,Ilya Novohatskyi,"Jun 19, 2023"
Table Backend,"The Ultimate Backend Solution for Small Projects including Marketplaces, Job Boards, Roadmaps, Todo Tasks, and Other Use Cases.",$8k/Month,tablebackend.com,2023,Solo-founder,"Delaware, USA",Bootstrapped,Subscriptions,Full-time,SaaS,Mohd Danish,"Jun 20, 2023"
Tag Parrot,Turbo-charge your SEO. Automatically get your pages indexed by Google in about 48hrs.,$556 MRR,tagparrot.com,2023,Solo-founder,"Buckingham, UK",Bootstrapped,Subscriptions,Side-project,SaaS,Chris Blakey,"Jun 20, 2023"
MyCollabs,"Find the right influencers and content creators, organize your workflow, and get suggestions on how to grow your business.",Pre-revenue,mycollabs.io,2023,Solo-founder,"Michigan, US",Bootstrapped,Subscriptions,Full-time,Marketplace,James Bake,"Jun 20, 2023"
Detailed,"SEO insights and analysis from tracking 2,000+ websites and revenue reports of digital media goliaths. ",Pre-revenue,detailed.com,2023,Solo-founder,Hong Kong,Bootstrapped,Consulting,Full-time,Blog,Glen Allsop,"Jun 20, 2023"
Indie Worldwide,Product and marketing deep dives with bootstrapped startup founders from around the world. Learn the skills you need to build a startup to $0 to $1 million+ ARR.,$5k/Month,indieworldwide.com,2018,Solo-founder,100% Remote,Bootstrapped,Subscriptions,Full-time,Community,Anthony Castrio,"Jun 20, 2023"
LaunchList,Validate your startup and get 10x more sign-ups with viral waitlist forms.,$2.4k/Month,getlaunchlist.com,2022,Solo-founder,India,Bootstrapped,Sales & transactions,Full-time,SaaS,Navneet Singh,"Jun 20, 2023"
Oleg Coada,"Logo designer for startups, creative agencies, and fast-growing businesses.",$3k/Month,olegcoada.com,2016,Solo-founder,Moldova,Bootstrapped,Other,Full-time,Service,Oleg Coada,"Jun 19, 2023"
I18ncore,I18ncore is a localisation as a service application which allows users to easily manage their i18n resources. ,>$500/Month,I18ncore.com,2020,Solo-founder,"Dublin, Ireland",Bootstrapped,Subscriptions,Side-project,,Evan Burbidge,"Jun 15, 2023"
SearchApi,Scrape Google and other search engines with a real-time API.,Pre-revenue,www.searchapi.io,2023,Solo-founder,"New York, US",Bootstrapped,Subscriptions,Full-time,SaaS,Mark Smith,"Jun 13, 2023"
Get Ramen,"A shortcut to ramen profits with business tips, breakdowns and marketing information. We transform the readers morning ramen into a bowl of success.",Pre-revenue,www.getramen.co,2023,Solo-founder,"Charlotte, NC",Bootstrapped,Advertising,Full-time,Newsletter,Lundin Matthews,"Jun 12, 2023"
AllCopy AI,"Generate original content like blog posts, marketing copy, SEO content, social media content, and job descriptions in seconds using AI.",Pre-revenue,www.allcopy.ai,2023,Solo-founder,"Amsterdam, The Netherlands",Bootstrapped,Subscriptions,Full-time,AI,Ryan Morrison,"Jun 19, 2023"
nugrow,Finance & M&A consultancy for digital entrepreneurs & investors.,$250k/Month,nugrow.de,,Solo-founder,"Bochum, Germany",Bootstrapped,Consulting,Full-time,Consultancy,Sebastian Janus,"Jun 12, 2023"
Cloud Number,"Cloud Number is a virtual phone number service for startups and indie hackers to receive unlimited voicemail and SMS. Protect your privacy online by not sharing your personal address to handle support, domain registration, or signing up for online services.",$300 MRR,cloudnumber.app,2020,Multiple,"Iowa, United States",Bootstrapped,Subscriptions,Side-project,App,Andy Brudtkuhl,"Jun 19, 2023"
aitools.fyi,Find the best AI tools to help you build your next awesome project faster and easier. We have curated the best AI tools for you to use in your next project.,$3.2k/Month,aitools.fyi,2023,Solo-founder,Canada,Bootstrapped,Advertising,Full-time,Directory,Rishit Patel,"Jun 13, 2023"
Jimpl,"Uncover hidden metadata from any photo, find when & where it was taken.",$900/Month,jimpl.com,2011,Solo-founder,Romania,Bootstrapped,Advertising,Side-project,,Toni Manolache,"Jun 19, 2023"
FoxyApps,Convert website visitors to leads using AI-powered apps.,$500/Month,www.foxyapps.ai,2023,Multiple,"Brighton, England",Bootstrapped,Subscriptions,Side-project,SaaS,"Peter Utekal, Ivan Homola","Jun 12, 2023"
Easy Test Hub,"Creates content around at-home lab testing companies, recommendations for at-home test kits, and advice for performing at-home testing.",Pre-revenue,easytesthub.com,2022,Solo-founder,US,Bootstrapped,Commission,Side-project,Content site,Angela Lattibeaudiere,"Jun 13, 2023"
NexBot,Empower your words with AI mastery: elevate your writing with our assistant extraordinaire,$12.3k MRR,nexbot.ai,2022,Multiple,Philippines,Bootstrapped,Subscriptions,Full-time,AI,Oliver Martinez,"Jun 19, 2023"
Marketing Mega-Prompts,A hand-crafted collection of 40 ChatGPT Mega-Prompts for Solopreneurs.,$5k/Month,www.makerbox.club,2023,Multiple,"Kuala Lumpur, Malaysia",Bootstrapped,Sales & transactions,Full-time,Digital Product,Dan Kulkov,"Jun 19, 2023"
Capgo,"Continuous Delivery for Capacitor app. Ship live updates, bug fixes, content changes, features, and more without struggle with the App store review.",$2.4k/Month,capgo.app,2022,Solo-founder,Portugal,Bootstrapped,Subscriptions,Full-time,SaaS,Martin Donadieu,"Jun 13, 2023"
